Id,Property Name,Store ID,Address,City,State,State Code,Zip Code,DMA Name,DMA Code,CBSA Name,CBSA Code,lat,lng,Category Group,Category,Sub Category,Visits,Ranking
e2ebd1fd268d50347d1481c8,Academy Sports + Outdoors,149,2211 Elder Ln,Kannapolis,North Carolina,NC,28083,"Charlotte, NC",517,"Charlotte-Concord-Gastonia, NC-SC Metro Area",16740,35.46650695800781,-80.59487152,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,256465,210
2cbd0da166dbf92c20ceb57a,Academy Sports + Outdoors,184,1732 Nw 82nd St,Lawton,Oklahoma,OK,73505,"Wichita Falls, TX-Lawton, OK",627,"Lawton, OK Metro Area",30020,34.62679672241211,-98.49532318,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,256085,211
efd6fdbced76b59503198bf6,Academy Sports + Outdoors,270,2550 Pearland Pkwy,Pearland,Texas,TX,77581,"Houston, TX",618,"Houston-The Woodlands-Sugar Land, TX Metro Area",26420,29.561664581298828,-95.26083374,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,256076,212
7f17d1e1586d9fa2375283fe,Academy Sports + Outdoors,169,7200 Concourse Pkwy,Douglasville,Georgia,GA,30134,"Atlanta, GA",524,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",12060,33.72890853881836,-84.76437378,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,255417,213
fda908f0233615c0b56ba0f7,Academy Sports + Outdoors,19,2404 Southwest Fwy,Houston,Texas,TX,77098,"Houston, TX",618,"Houston-The Woodlands-Sugar Land, TX Metro Area",26420,29.73230553,-95.41577911,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,255018,214
cf621644abf0e82fbecd76a5,Academy Sports + Outdoors,91,2350 Gallatin Pike N,Madison,Tennessee,TN,37115,"Nashville, TN",659,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",34980,36.31059646606445,-86.68130493,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,253871,215
11874df6333012edc8afa7d7,Academy Sports + Outdoors,81,1523 W State Hwy 114,Grapevine,Texas,TX,76051,"Dallas-Ft. Worth, TX",623,"Dallas-Fort Worth-Arlington, TX Metro Area",19100,32.92959976196289,-97.09667206,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,253672,216
f701cde6671b7c2b80b6ad10,Academy Sports + Outdoors,214,13401 Shelbyville Road Suite 140,Louisville,Kentucky,KY,40223,"Louisville, KY",529,"Louisville/Jefferson County, KY-IN Metro Area",31140,38.24491500854492,-85.50495911,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,252514,217
1335961664f6bbc6ac681837,Academy Sports + Outdoors,97,1701 S Cherry Ln,Fort Worth,Texas,TX,76108,"Dallas-Ft. Worth, TX",623,"Dallas-Fort Worth-Arlington, TX Metro Area",19100,32.74139404296875,-97.45035553,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,252459,218
6436e0f4ec99725809c5c372,Academy Sports + Outdoors,25,"801 East William Cannon Dr, #103",Austin,Texas,TX,78745,"Austin, TX",635,"Austin-Round Rock-Georgetown, TX Metro Area",12420,30.18899154663086,-97.77316284,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,251497,219
448be054eb8af30da312d4bc,Academy Sports + Outdoors,107,1585 Scenic Hwy,Snellville,Georgia,GA,30078,"Atlanta, GA",524,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",12060,33.887107849121094,-84.01246643,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,251089,220
5fdb33e286a8a8dc7f2665af,Academy Sports + Outdoors,320,1605 12th Ave NW,Ardmore,Oklahoma,OK,73401,"Sherman, TX-Ada, OK",657,"Ardmore, OK Micro Area",11620,34.189605712890625,-97.14916229,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,250807,221
57f835ee2dfc3bb86c90ee4b,Academy Sports + Outdoors,298,1575 Westside Dr,Rolla,Missouri,MO,65401,"St. Louis, MO",609,"Rolla, MO Micro Area",40620,37.946659088134766,-91.79528809,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,249956,222
de3bcfee661303914d0c5f41,Academy Sports + Outdoors,27,12250 Research Blvd,Austin,Texas,TX,78759,"Austin, TX",635,"Austin-Round Rock-Georgetown, TX Metro Area",12420,30.42561912536621,-97.75639343,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,246532,223
6572d55334073b072c8c1c4d,Academy Sports + Outdoors,336,2711 Market St NE,Christiansburg,Virginia,VA,24073,"Roanoke-Lynchburg, VA",573,"Blacksburg-Christiansburg, VA Metro Area",13980,37.166526794433594,-80.41934967,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,245832,224
67ec05018ac165f585d904ce,Academy Sports + Outdoors,375,2801 E Market St,York,Pennsylvania,PA,17402,"Harrisburg-Lancaster-Lebanon-York, PA",566,"York-Hanover, PA Metro Area",49620,39.97883987426758,-76.67165375,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,245825,225
f4b150862b366dedf663eef8,Academy Sports + Outdoors,253,1574 W Hwy 50,O'Fallon,Illinois,IL,62269,"St. Louis, MO",609,"St. Louis, MO-IL Metro Area",41180,38.59471893310547,-89.95648956,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,245375,226
e537bd7fdd56e811487e09ef,Academy Sports + Outdoors,254,14260 Manchester Rd,Manchester,Missouri,MO,63011,"St. Louis, MO",609,"St. Louis, MO-IL Metro Area",41180,38.59071731567383,-90.50584412,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,244862,227
37cf3de416256e817da197de,Academy Sports + Outdoors,236,4285 Norfolk Pkwy,West Melbourne,Florida,FL,32904,"Orlando-Daytona Beach-Melbourne, FL",534,"Palm Bay-Melbourne-Titusville, FL Metro Area",37340,28.03993797302246,-80.66114807,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,244253,228
3caad2bce2e70073ca9f4342,Academy Sports + Outdoors,187,9781 Quivira Rd,Overland Park,Kansas,KS,66215,"Kansas City, MO",616,"Kansas City, MO-KS Metro Area",28140,38.95064926147461,-94.72157288,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,243482,229
